timestamp,episode,step,reward,diff_bot,gray_ratio,wall_contact,is_stuck,fps
1766929005.377514,0,1,-0.1100,136.4955,0.49,False,False,0
1766929005.638527,0,2,-0.1800,108.5692,0.49,True,False,0
1766929005.9054987,0,3,0.4900,100.3495,0.48,False,False,0
1766929006.1646562,0,4,-0.1800,91.3119,0.45,True,False,0
1766929006.4357991,0,5,-0.2000,72.0717,0.36,True,False,0
1766929006.7041688,0,6,-0.2200,60.7173,0.31,True,False,0
1766929006.9642816,0,7,-0.2400,69.2590,0.28,True,False,0
1766929007.2221155,0,8,-0.2600,85.0500,0.14,True,False,0
1766929007.489687,0,9,-0.2800,87.0447,0.03,True,False,0
1766929007.763027,0,10,0.4900,118.5144,0.03,False,False,0
1766929008.0247507,0,11,-0.1100,121.1689,0.06,False,False,0
1766929008.2960372,0,12,-0.1600,147.7453,0.06,False,False,0
1766929008.5559347,0,13,-0.1600,131.5504,0.07,False,False,0
1766929008.8148625,0,14,-0.1600,114.4659,0.07,False,False,0
1766929009.0723276,0,15,-0.1800,81.5063,0.06,True,False,0
1766929009.3312247,0,16,-0.2000,84.6077,0.07,True,False,0
1766929009.5925238,0,17,-0.2200,107.9692,0.08,True,False,0
1766929009.8594735,0,18,-0.2400,109.3633,0.06,True,False,0
1766929010.1302183,0,19,-0.2600,105.9348,0.05,True,False,0
1766929010.3902242,0,20,-0.2800,119.4489,0.06,True,False,0
1766929010.6501133,0,21,-0.3000,109.2228,0.04,True,False,0
1766929010.919005,0,22,-0.1600,111.0648,0.02,False,False,0
1766929011.1793845,0,23,-0.1800,112.1752,0.06,True,False,0
1766929011.4482007,0,24,-0.1600,114.1265,0.13,False,False,0
1766929011.70502,0,25,-0.0100,121.3940,0.24,False,False,0
1766929011.9679377,0,26,-0.0300,137.5977,0.36,False,False,0
1766929012.2260525,0,27,-0.0100,126.8937,0.45,False,False,0
1766929012.4850872,0,28,0.0400,130.1531,0.53,False,False,0
1766929012.74342,0,29,-0.1800,91.2344,0.50,True,False,0
1766929013.0027552,0,30,-0.2000,48.4363,0.36,True,False,0
1766929013.2755866,0,31,-0.2200,66.5223,0.24,True,False,0
1766929013.543621,0,32,-0.2400,73.8584,0.18,True,False,0
1766929013.8124108,0,33,-0.2600,87.9684,0.23,True,False,0
1766929014.0744429,0,34,-0.2800,111.4085,0.35,True,False,0
1766929014.3292708,0,35,0.3900,119.9406,0.37,False,False,0
1766929014.5860114,0,36,-0.0800,112.2980,0.37,False,False,0
1766929014.8517144,0,37,-0.0300,113.0633,0.36,False,False,0
1766929015.1131628,0,38,-0.1800,109.4291,0.35,True,False,0
1766929015.3791318,0,39,-0.2000,109.5865,0.32,True,False,0
1766929015.6424074,0,40,-0.2200,105.8853,0.31,True,False,0
1766929015.9153333,0,41,-0.2400,112.2132,0.29,True,False,0
1766929016.1868618,0,42,0.4700,119.1637,0.27,False,False,0
1766929016.446315,0,43,-0.0300,116.0264,0.26,False,False,0
1766929016.705561,0,44,-0.1800,114.4941,0.25,True,False,0
1766929016.9746149,0,45,-0.0800,113.0266,0.23,False,False,0
1766929017.2346966,0,46,-0.0300,113.4913,0.23,False,False,0
1766929017.4895937,0,47,-0.1800,112.8884,0.22,True,False,0
1766929017.7502239,0,48,-0.2000,112.2018,0.23,True,False,0
1766929018.0102317,0,49,-0.2200,109.6303,0.24,True,False,0
1766929018.2711742,0,50,-0.2400,105.8897,0.23,True,False,0
1766929018.5327938,0,51,-0.2600,101.0780,0.23,True,False,0
1766929018.790502,0,52,-0.2800,98.7799,0.23,True,False,0
1766929019.0585628,0,53,-0.3000,101.2012,0.22,True,False,0
1766929019.3300252,0,54,-0.3200,97.9305,0.22,True,False,0
1766929019.5917368,0,55,-0.3400,100.0512,0.23,True,False,0
1766929019.8510106,0,56,-0.3600,100.2247,0.22,True,False,0
1766929020.1236987,0,57,-0.3800,93.0969,0.22,True,False,0
1766929020.3831484,0,58,-0.4000,97.4878,0.22,True,False,0
1766929020.644447,0,59,-0.1600,110.5852,0.22,False,False,0
1766929020.9031541,0,60,-0.1600,117.4930,0.24,False,False,0
1766929021.1588666,0,61,-0.1800,111.7340,0.25,True,False,0
1766929021.427784,0,62,-0.2000,108.2429,0.25,True,False,0
1766929021.6971943,0,63,-0.2200,105.6173,0.26,True,False,0
1766929021.9600387,0,64,-0.2400,102.6250,0.26,True,False,0
1766929022.2219682,0,65,-0.2600,98.3472,0.27,True,False,0
1766929022.4923465,0,66,-0.2800,81.1716,0.27,True,False,0
1766929022.7517128,0,67,-0.3000,94.4884,0.26,True,False,0
1766929023.0206146,0,68,-0.3200,98.7686,0.26,True,False,0
1766929023.2819023,0,69,-0.3400,100.5264,0.26,True,False,0
1766929023.5413096,0,70,-0.3600,96.7201,0.24,True,False,0
1766929023.8062701,0,71,-0.3800,96.1932,0.23,True,False,0
1766929024.0802877,0,72,-0.4000,97.6777,0.26,True,False,0
1766929024.3528295,0,73,-0.4200,105.5839,0.30,True,False,0
1766929024.613805,0,74,-0.4400,110.4322,0.32,True,False,0
1766929024.8873541,0,75,0.4700,123.7918,0.34,False,False,0
